"truckpatent","device_id","marca-equipo","fecha_inicio","fecha_fin","tiempo_encendido_total","horometro_inicio","horometro_fin","geocerca_origen","geocerca_destino"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-27 08:32:53","2024-06-27 09:17:58","0,7502777777777778","923465,0","926166,0","Sin Registro","Sin Registro"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-27 09:53:44","2024-06-27 10:31:37","0,5563888888888889","926188,0","928191,0","Sin Registro","Muro Norte"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-27 09:56:50","2024-06-27 11:53:43","1,9247222222222222","391242,0","398171,0","Sin Registro","Sin Registro"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-27 10:48:54","2024-06-27 11:14:10","0,42083333333333334","928218,0","929733,0","Muro Norte","Sin Registro"
"RETRO-628","865326062202497","Retroexcavadora John Deere","2024-06-27 11:59:11","2024-06-27 12:02:26","0,05416666666666667","574944,0","575139,0","Sin Registro","Sin Registro"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-27 12:21:51","2024-06-27 13:37:48","1,2502777777777778","398206,0","402707,0","Sin Registro","Estacion de bombeo"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-27 15:57:42","2024-06-27 19:03:10","3,0813888888888887","402723,0","413816,0","Estacion de bombeo","Estacion de bombeo"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-27 17:02:11","2024-06-27 17:09:44","0,125","929813,0","930263,0","Sin Registro","Parqueo Casino"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-28 07:59:36","2024-06-28 08:07:07","0,12527777777777777","930325,0","930776,0","Parqueo Casino","Parqueo Casino"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-28 08:00:07","2024-06-28 08:07:07","0,11666666666666667","930356,0","930776,0","Parqueo Casino","Parqueo Casino"
"RETRO-628","865326062202497","Retroexcavadora John Deere","2024-06-28 08:26:07","2024-06-28 09:23:27","0,9536111111111111","575191,0","578624,0","Sin Registro","Muro Norte"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-28 08:39:03","2024-06-28 13:24:29","4,754722222222222","930838,0","947955,0","Parqueo Casino","Parqueo Casino"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-28 09:02:07","2024-06-28 09:17:39","0,25916666666666666","413836,0","414769,0","Pretil Principal T3","Pretil Principal T3"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-28 09:50:51","2024-06-28 10:12:06","0,3030555555555556","414828,0","415919,0","Pretil Principal T3","Estacion de bombeo"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-28 10:18:53","2024-06-28 10:32:52","0,2238888888888889","415935,0","416741,0","Estacion de bombeo","Estacion de bombeo"
"RETRO-628","865326062202497","Retroexcavadora John Deere","2024-06-28 10:27:36","2024-06-28 10:30:53","0,05416666666666667","578684,0","578879,0","Muro Norte","Muro Norte"
"RETRO-628","865326062202497","Retroexcavadora John Deere","2024-06-28 10:39:25","2024-06-28 10:58:42","0,3188888888888889","578976,0","580124,0","Muro Norte","Muro Norte"
