Registro;Hora;Dir.;Operador;Camion ID;Camion Volumen (m3);Total (m3);Modelo
230101-001197;29-07-2024;ENTRA;T53;T53;20.2;20.2;Mercedes
230101-001196;29-07-2024;ENTRA;L31;L31;20;20;Mercedes
230101-001195;29-07-2024;ENTRA;T43;T43;17.3;17.3;Mercedes
230101-001194;29-07-2024;ENTRA;F51;F51;19.5;19.5;Volvo
230101-001193;29-07-2024;ENTRA;X32;X32;17.7;17.7;Volvo
230101-001192;29-07-2024;ENTRA;W10;W10;19.3;19.3;Mercedes
230101-001191;29-07-2024;ENTRA;W59;W59;19.8;19.8;Volvo
230101-001190;29-07-2024;ENTRA;L78;L78;19.2;19.2;Mercedes
230101-001189;29-07-2024;ENTRA;K29;K29;20.9;20.9;Volvo
230101-001188;29-07-2024;ENTRA;S56;S56;20.2;20.2;Volvo
230101-001187;29-07-2024;ENTRA;L13;L13;18.8;18.8;Volvo
230101-001186;29-07-2024;ENTRA;X98;X98;21.2;21.2;Volvo
230101-001185;29-07-2024;ENTRA;J63;J63;18.4;18.4;Mercedes
230101-001184;29-07-2024;ENTRA;V45;V45;20.3;20.3;Volvo
230101-001183;29-07-2024;ENTRA;F28;F28;21.1;21.1;Volvo
230101-001182;29-07-2024;ENTRA;L80;L80;19.2;19.2;Mercedes
230101-001181;29-07-2024;ENTRA;F94;F94;20.1;20.1;Volvo
230101-001180;29-07-2024;ENTRA;W12;W12;19.3;19.3;Mercedes
230101-001179;29-07-2024;ENTRA;F31;F31;21.3;21.3;Volvo
230101-001178;29-07-2024;ENTRA;K79;K79;21.5;21.5;Volvo
230101-001177;29-07-2024;ENTRA;L75;L75;19.9;19.9;Mercedes
230101-001176;29-07-2024;ENTRA;S57;S57;21;21;Volvo
230101-001175;29-07-2024;ENTRA;K48;K48;20.2;20.2;Volvo
230101-001174;29-07-2024;ENTRA;H32;H32;19.5;19.5;Mercedes
230101-001173;29-07-2024;ENTRA;X15;X15;18.9;18.9;Mercedes
230101-001172;29-07-2024;ENTRA;T53;T53;20.2;20.2;Mercedes
230101-001171;29-07-2024;ENTRA;W78;W78;18.2;18.2;Mercedes
230101-001170;29-07-2024;ENTRA;Z90;Z90;20.1;20.1;Volvo
230101-001169;29-07-2024;ENTRA;H21;H21;22.7;22.7;Volvo
230101-001168;29-07-2024;ENTRA;F33;F33;20;20;Volvo
230101-001167;29-07-2024;ENTRA;V55;V55;19.4;19.4;Volvo
230101-001166;29-07-2024;ENTRA;T51;T51;19.2;19.2;Mercedes
230101-001165;29-07-2024;ENTRA;F92;F92;20.8;20.8;Volvo
230101-001164;29-07-2024;ENTRA;Z82;Z82;20.7;20.7;Mercedes
230101-001163;29-07-2024;ENTRA;J10;J10;19.8;19.8;Volvo
230101-001162;29-07-2024;ENTRA;L79;L79;19.4;19.4;Mercedes
230101-001161;29-07-2024;ENTRA;V45;V45;19.7;19.7;Volvo
230101-001160;29-07-2024;ENTRA;T43;T43;20;20;Mercedes
230101-001159;29-07-2024;ENTRA;X32;X32;18.8;18.8;Volvo
230101-001158;29-07-2024;ENTRA;W58;W58;20.3;20.3;Volvo
230101-001157;29-07-2024;ENTRA;L80;L80;19.5;19.5;Mercedes
230101-001156;29-07-2024;ENTRA;V82;V82;19.5;19.5;Mercedes
230101-001155;29-07-2024;ENTRA;L31;L31;19.9;19.9;Mercedes
230101-001154;29-07-2024;ENTRA;F51;F51;19.2;19.2;Volvo
230101-001153;29-07-2024;ENTRA;W10;W10;19.3;19.3;Mercedes
230101-001152;29-07-2024;ENTRA;L78;L78;19.6;19.6;Mercedes
230101-001151;29-07-2024;ENTRA;K29;K29;20.2;20.2;Volvo
230101-001150;29-07-2024;ENTRA;L13;L13;19.5;19.5;Volvo
230101-001149;29-07-2024;ENTRA;T53;T53;19;19;Mercedes
230101-001148;29-07-2024;ENTRA;H30;H30;20.1;20.1;Mercedes
230101-001147;29-07-2024;ENTRA;J63;J63;18.4;18.4;Mercedes
230101-001146;29-07-2024;ENTRA;V45;V45;19.2;19.2;Volvo
230101-001145;29-07-2024;ENTRA;F31;F31;22.3;22.3;Volvo
230101-001144;29-07-2024;ENTRA;L80;L80;18.5;18.5;Mercedes
230101-001143;29-07-2024;ENTRA;K79;K79;22.6;22.6;Volvo
230101-001142;29-07-2024;ENTRA;S57;S57;20;20;Volvo
230101-001141;29-07-2024;ENTRA;X15;X15;20.5;20.5;Mercedes
230101-001140;29-07-2024;ENTRA;K48;K48;19.4;19.4;Volvo
230101-001139;29-07-2024;ENTRA;Z90;Z90;19.3;19.3;Volvo
230101-001138;29-07-2024;ENTRA;V43;V43;19.4;19.4;Volvo
230101-001137;29-07-2024;ENTRA;K47;K47;20.1;20.1;Volvo
230101-001136;29-07-2024;ENTRA;W12;W12;21.2;21.2;Mercedes
230101-001135;29-07-2024;ENTRA;L75;L75;19.5;19.5;Mercedes
230101-001134;29-07-2024;ENTRA;V55;V55;20.7;20.7;Volvo
230101-001133;29-07-2024;ENTRA;H32;H32;20.1;20.1;Mercedes
230101-001132;29-07-2024;ENTRA;T51;T51;19.2;19.2;Mercedes
230101-001131;29-07-2024;ENTRA;L31;L31;19.5;19.5;Mercedes
230101-001130;29-07-2024;ENTRA;T43;T43;18.5;18.5;Mercedes
230101-001129;29-07-2024;ENTRA;X32;X32;17.6;17.6;Volvo
230101-001128;29-07-2024;ENTRA;W78;W78;20.3;20.3;Mercedes
230101-001127;29-07-2024;ENTRA;F51;F51;19.5;19.5;Volvo
230101-001126;29-07-2024;ENTRA;F33;F33;20.8;20.8;Volvo
230101-001125;29-07-2024;ENTRA;L78;L78;18.7;18.7;Mercedes
230101-001124;29-07-2024;ENTRA;J63;J63;20;20;Mercedes
230101-001123;29-07-2024;ENTRA;L13;L13;19.9;19.9;Volvo
230101-001122;29-07-2024;ENTRA;F88;F88;18.6;18.6;Mercedes
230101-001121;29-07-2024;ENTRA;W10;W10;19;19;Mercedes
230101-001120;29-07-2024;ENTRA;X98;X98;19.7;19.7;Volvo
230101-001119;29-07-2024;ENTRA;K29;K29;20.2;20.2;Volvo
230101-001118;29-07-2024;ENTRA;V45;V45;20.9;20.9;Volvo
230101-001117;29-07-2024;ENTRA;T53;T53;20.1;20.1;Mercedes
230101-001116;29-07-2024;ENTRA;L80;L80;20.3;20.3;Mercedes
230101-001115;29-07-2024;ENTRA;S77;S77;20.2;20.2;Volvo
230101-001114;29-07-2024;ENTRA;J10;J10;21.6;21.6;Volvo
230101-001113;29-07-2024;ENTRA;K46;K46;20.1;20.1;Volvo
230101-001112;29-07-2024;ENTRA;P27;P27;20.9;20.9;Volvo
230101-001111;29-07-2024;ENTRA;L67;L67;21.4;21.4;Mercedes
230101-001110;29-07-2024;ENTRA;S36;S36;20.8;20.8;Mercedes
230101-001109;29-07-2024;ENTRA;F29;F29;22.8;22.8;Volvo
230101-001108;29-07-2024;ENTRA;H21;H21;20.7;20.7;Volvo
230101-001107;29-07-2024;ENTRA;X15;X15;20.2;20.2;Mercedes
230101-001106;29-07-2024;ENTRA;K48;K48;20.5;20.5;Volvo
230101-001105;29-07-2024;ENTRA;V44;V44;22;22;Volvo
