ITEM;ÁREA;ITEM;DESCRIPCIÓN;ITEM;DESCRIPCIÓN;ITEM;;ITEM;PROCESO;DESCRIPCIÓN;UN;"Cantidad
Remanente";;PROCESO;TOTAL (M3);;INICIO;FIN;DÍAS;;01-04-2024;01-05-2024;01-06-2024;01-07-2024;01-08-2024;01-09-2024;01-10-2024;01-11-2024;01-12-2024;01-01-2025;01-02-2025;01-03-2025;01-04-2025;01-05-2025;01-06-2025;01-07-2025;01-08-2025;01-09-2025;01-10-2025;01-11-2025;01-12-2025;01-01-2026;01-02-2026;01-03-2026;01-04-2026;01-05-2026;01-06-2026;01-07-2026
1.1;MN1;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.1.;Excavación -  Fundación Muro Norte (km 1+800 A 3+320);1.1.1.1.1;VERDADERO;1.1.1.1.1;Excavación;Excavación material común - MN;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN1;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.1.;Excavación -  Fundación Muro Norte (km 1+800 A 3+320);1.1.1.1.2;VERDADERO;1.1.1.1.2;Excavación;Excavación en Roca con medios mecánicos - MN;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN1;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.1.;Excavación -  Fundación Muro Norte (km 1+800 A 3+320);1.1.1.1.3;VERDADERO;1.1.1.1.3;Excavación;Excavación en Roca Ripable  - MN;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.2.;Excavación - Fundación Muro Norte (km 3+300 A 4+890);1.1.1.2.1;VERDADERO;1.1.1.2.1;Excavación;Excavación material común - MN;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.2.;Excavación - Fundación Muro Norte (km 3+300 A 4+890);1.1.1.2.2;VERDADERO;1.1.1.2.2;Excavación;Excavación en Roca con medios mecánicos - MN;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.2.;Excavación - Fundación Muro Norte (km 3+300 A 4+890);1.1.1.2.3;VERDADERO;1.1.1.2.3;Excavación;Excavación en Roca  Ripable - MN;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.3.;Escarpes - Muro Norte;1.1.1.3.1;VERDADERO;1.1.1.3.1;Escarpe;Escarpe en arena - MN;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN1;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.4.;Rellenos  - Aguas Abajo Muro Norte (km 1+800 A 3+300);1.1.1.4.1;VERDADERO;1.1.1.4.1;Relleno;Relleno masivo de Lastre - aguas abajo bajo cota 2496 AA - MN;m3;54890;;Relleno;54890;;20-06-2024;01-07-2024;12;;0;0;51601;3289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.5.;Rellenos - Aguas Abajo Muro Norte (km 3+300 A 4+890);1.1.1.5.1;VERDADERO;1.1.1.5.1;Relleno;Relleno masivo de Lastre - aguas abajo bajo cota 2496 EC - MN;m3;298896;;Relleno;298896;;07-06-2024;02-10-2024;118;;0;0;60035;79195;79195;76640;3832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.6.;Rellenos - Aguas Arriba Muro Norte (km 3+300 A 4+890);1.1.1.6.1;VERDADERO;1.1.1.6.1;Zampeado;Relleno de lastre para Zampeado - MN;m3;11700;;Relleno;11700;;02-10-2024;07-10-2024;6;;0;0;0;0;0;0;11700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.6.;Rellenos - Aguas Arriba Muro Norte (km 3+300 A 4+890);1.1.1.6.2;VERDADERO;1.1.1.6.2;Relleno;Relleno masivo de Lastre - aguas arriba bajo cota 2496 - MN;m3;19100;;Relleno;19100;;02-10-2024;07-10-2024;6;;0;0;0;0;0;0;19100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
