"truckpatent","device_id","marca-equipo","fecha_inicio","fecha_fin","tiempo_encendido_total","horometro_inicio","horometro_fin","geocerca_origen","geocerca_destino"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-24 08:41:54","2024-06-24 08:57:48","0,19166666666666668","897402,0","898092,0","Sin Registro","Sin Registro"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-24 09:04:19","2024-06-24 09:36:50","0,5416666666666666","898104,0","900054,0","Sin Registro","Sin Registro"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-24 10:42:52","2024-06-24 10:45:08","0,0375","900111,0","900246,0","Sin Registro","Sin Registro"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-24 10:50:14","2024-06-24 10:51:14","0,016944444444444446","900265,0","900326,0","Sin Registro","Sin Registro"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-24 11:00:57","2024-06-24 11:15:43","0,2461111111111111","900357,0","901243,0","Sin Registro","Sin Registro"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-24 11:26:17","2024-06-24 11:30:57","0,051111111111111114","901256,0","901440,0","Sin Registro","Sin Registro"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-24 12:13:56","2024-06-24 12:16:49","0,04583333333333333","901498,0","901663,0","Sin Registro","Sin Registro"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-24 14:11:26","2024-06-24 14:13:22","0,029444444444444443","901723,0","901829,0","Sin Registro","Sin Registro"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-24 18:22:28","2024-06-24 18:25:58","0,058333333333333334","901900,0","902110,0","Sin Registro","Sin Registro"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-24 18:39:30","2024-06-24 18:47:00","0,125","902138,0","902588,0","Sin Registro","Sin Registro"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-24 23:04:17","2024-06-24 23:05:17","0,016666666666666666","902639,0","902699,0","Sin Registro","Sin Registro"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-27 08:32:53","2024-06-27 09:17:58","0,7502777777777778","923465,0","926166,0","Sin Registro","Sin Registro"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-27 09:53:44","2024-06-27 10:31:37","0,5563888888888889","926188,0","928191,0","Sin Registro","Muro Norte"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-27 09:56:50","2024-06-27 11:53:43","1,9247222222222222","391242,0","398171,0","Sin Registro","Sin Registro"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-27 10:48:54","2024-06-27 11:14:10","0,42083333333333334","928218,0","929733,0","Muro Norte","Sin Registro"
"RETRO-628","865326062202497","Retroexcavadora John Deere","2024-06-27 11:59:11","2024-06-27 12:02:26","0,05416666666666667","574944,0","575139,0","Sin Registro","Sin Registro"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-27 12:21:51","2024-06-27 13:37:48","1,2502777777777778","398206,0","402707,0","Sin Registro","Estacion de bombeo"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-27 15:57:42","2024-06-27 19:03:10","3,0813888888888887","402723,0","413816,0","Estacion de bombeo","Estacion de bombeo"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-27 17:02:11","2024-06-27 17:09:44","0,125","929813,0","930263,0","Sin Registro","Parqueo Casino"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-28 07:59:36","2024-06-28 08:07:07","0,12527777777777777","930325,0","930776,0","Parqueo Casino","Parqueo Casino"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-28 08:00:07","2024-06-28 08:07:07","0,11666666666666667","930356,0","930776,0","Parqueo Casino","Parqueo Casino"
"RETRO-628","865326062202497","Retroexcavadora John Deere","2024-06-28 08:26:07","2024-06-28 09:23:27","0,9536111111111111","575191,0","578624,0","Sin Registro","Muro Norte"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-28 08:39:03","2024-06-28 13:24:29","4,754722222222222","930838,0","947955,0","Parqueo Casino","Parqueo Casino"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-28 09:02:07","2024-06-28 09:17:39","0,25916666666666666","413836,0","414769,0","Pretil Principal T3","Pretil Principal T3"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-28 09:50:51","2024-06-28 10:12:06","0,3030555555555556","414828,0","415919,0","Pretil Principal T3","Estacion de bombeo"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-28 10:18:53","2024-06-28 10:32:52","0,2238888888888889","415935,0","416741,0","Estacion de bombeo","Estacion de bombeo"
"RETRO-628","865326062202497","Retroexcavadora John Deere","2024-06-28 10:27:36","2024-06-28 10:30:53","0,05416666666666667","578684,0","578879,0","Muro Norte","Muro Norte"
"RETRO-628","865326062202497","Retroexcavadora John Deere","2024-06-28 10:39:25","2024-06-28 10:58:42","0,3188888888888889","578976,0","580124,0","Muro Norte","Muro Norte"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-28 10:42:39","2024-06-28 13:26:26","2,5330555555555554","416761,0","425880,0","Estacion de bombeo","Estacion de bombeo"
"RETRO-628","865326062202497","Retroexcavadora John Deere","2024-06-28 11:07:26","2024-06-28 11:54:34","0,7713888888888889","580143,0","582920,0","Muro Norte","Muro Norte"
"RETRO-628","865326062202497","Retroexcavadora John Deere","2024-06-28 12:08:51","2024-06-28 12:39:56","0,48","582970,0","584698,0","Muro Norte","Muro Norte"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-28 14:59:10","2024-06-28 15:24:56","0,42916666666666664","948015,0","949560,0","Parqueo Casino","Sin Registro"
"RETRO-628","865326062202497","Retroexcavadora John Deere","2024-06-28 15:01:06","2024-06-28 15:34:05","0,54","584760,0","586704,0","Muro Norte","Muro Norte"
"RETRO-628","865326062202497","Retroexcavadora John Deere","2024-06-28 15:39:14","2024-06-28 16:04:33","0,4075","586712,0","588179,0","Muro Norte","Muro Norte"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-28 16:52:49","2024-06-28 17:50:29","0,8816666666666667","425934,0","429108,0","Estacion de bombeo","Pretil Principal T3"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-28 16:59:07","2024-06-28 18:50:39","1,8586111111111112","949613,0","956304,0","Sin Registro","Parqueo Casino"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-28 18:05:00","2024-06-28 20:12:32","2,0630555555555556","429148,0","436575,0","Pretil Principal T3","Pretil Principal T3"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-29 08:00:53","2024-06-29 08:19:08","0,30416666666666664","956319,0","957414,0","Parqueo Casino","Parqueo Casino"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-29 08:47:10","2024-06-29 08:49:11","0,03361111111111111","436640,0","436761,0","Pretil Principal T3","Pretil Principal T3"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-29 09:04:27","2024-06-29 09:50:40","0,6502777777777777","436772,0","439113,0","Pretil Principal T3","Estacion de bombeo"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-29 09:25:30","2024-06-29 09:40:03","0,24194444444444443","957475,0","958346,0","Parqueo Casino","Estacion de bombeo"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-29 09:49:57","2024-06-29 10:06:35","0,275","958372,0","959362,0","Estacion de bombeo","Sin Registro"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-29 09:57:13","2024-06-29 10:29:33","0,5127777777777778","439135,0","440981,0","Estacion de bombeo","Pretil Principal T3"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-29 10:30:31","2024-06-29 10:44:30","0,23333333333333334","959426,0","960266,0","Pretil Diagonal","Sin Registro"
"RETRO-365","865167066828857","Retroexcavadora John Deere","2024-06-29 10:39:04","2024-06-29 10:49:04","0,16305555555555556","441006,0","441593,0","Pretil Principal T3","Pretil Principal T3"
"SWKS81","865413054094023","Camion Pluma Volvo","2024-06-29 10:51:05","2024-06-29 12:41:07","1,7569444444444444","960291,0","966616,0","Sin Registro","Parqueo Casino"
"RETRO-628","865326062202497","Retroexcavadora John Deere","2024-06-29 10:54:35","2024-06-29 11:18:35","0,3975","588202,0","589633,0","Muro Norte","Muro Norte"
